nba_player_list_2
Name,Points,Asist,Board,Salary
Luke Kennard,9.7,2.9,1.8,3827160
Miles Bridges,7.5,4,1.2,3755400
Jakob P?ltl,5.5,5.3,1.2,3754886
Tyler Herro,NAN,NAN,NAN,3640200
Donovan Mitchell,23.8,4.1,4.2,3635760
Stanley Johnson,6.9,3.3,1.3,3623000
Jake Layman,7.6,3.1,0.7,3581986
Thon Maker,5,3.2,0.7,3569643
Jerome Robinson,3.4,1.2,0.6,3567720
Allonzo Trier,10.9,3.1,1.9,3551100
Danuel House,9.4,3.6,1,3540000
Domantas Sabonis,14.1,9.3,2.9,3529555
Mirza Teletovi?,8.1,3.2,0.8,3500000
DeMarcus Cousins,16.3,8.2,3.6,3500000
Dario ?ari?,10.6,5.6,1.6,3481986
Taurean Prince,13.5,3.6,2.1,3481986
Romeo Langford,NAN,NAN,NAN,3458400
Bam Adebayo,8.9,7.3,2.2,3454080
Kyle Korver,8.6,2.3,1.2,3440000
Michael Porter Jr.,NAN,NAN,NAN,3389400
Denzel Valentine,8,4.1,2.3,3377569
Juan Hernang?mez,5.8,3.8,0.8,3321030
Sekou Doumbouya,NAN,NAN,NAN,3285120
Justin Jackson,7.2,2.6,1.2,3280920
Troy Brown Jr.,4.8,2.8,1.5,3219480
Markieff Morris,9.4,4.6,1.4,3200000
Jon Leuer,3.8,2.4,0.3,3169348
Yogi Ferrell,5.9,1.5,1.9,3150000
Guerschon Yabusele,2.3,1.3,0.4,3117240
Zhaire Smith,6.7,2.2,1.7,3058800
Khem Birch,4.8,3.8,0.8,3000000
Ryan Arcidiacono,6.7,2.7,3.3,3000000
Quinn Cook,6.9,2.1,1.6,3000000
?mer A??k,5.3,7.1,0.6,3000000
Nickeil Alexander-Walker,NAN,NAN,NAN,2964840
D.J. Wilson,5.8,4.6,1.1,2961120
Cedi Osman,13,4.7,2.6,2907143
Donte DiVincenzo,4.9,2.4,1.1,2905800
Bryn Forbes,11.8,2.9,2.1,2875000
Andrew Nicholson,6,3,0.4,2844429
Goga Bitadze,NAN,NAN,NAN,2816760
T.J. Leaf,3.9,2.2,0.4,2813280
Lonnie Walker,2.6,1,0.5,2760480
Alex Caruso,9.2,2.7,3.1,2750000
Malik Beasley,11.3,2.5,1.2,2731714
Luka ?amani?,NAN,NAN,NAN,2689920
John Collins,19.5,9.8,2,2686560
Kevin Huerter,9.7,3.3,2.9,2636280
Caris LeVert,13.7,3.8,3.9,2625718
DeAndre' Bembry,8.4,4.4,2.5,2603982
Matisse Thybulle,NAN,NAN,NAN,2582160
Harry Giles,7,3.8,1.5,2578800
Jeff Green,12.3,4,1.8,2564753
Anthony Tolliver,5,2.7,0.7,2564753
Wesley Matthews,12.2,2.5,2.3,2564753
Rajon Rondo,9.2,5.3,8,2564753
Jared Dudley,4.9,2.6,1.4,2564753
Tyson Chandler,3.1,5.6,0.7,2564753
Gerald Green,9.2,2.5,0.5,2564753
Wilson Chandler,6,4.2,1.6,2564753
Josh Okogie,7.7,2.9,1.2,2530680
Rondae Hollis-Jefferson,8.9,5.3,1.6,2500000
Brandon Clarke,NAN,NAN,NAN,2478840
Terrance Ferguson,6.9,1.9,1,2475840
Grayson Allen,5.6,0.6,0.7,2429400
Grant Williams,NAN,NAN,NAN,2379840
Jarrett Allen,10.9,8.4,1.4,2376840
Pascal Siakam,16.9,6.9,3.1,2351839
Skal Labissi?re,3,2,0.5,2338847
